case_id,confidence_primary,confidence_secondary,primary_delta_author_trust,primary_delta_blocker_recall_and_correctness,primary_delta_disconfirmation_and_evidence,primary_delta_exact_localization,primary_delta_false_positive_control,primary_delta_lifecycle_awareness,primary_delta_priority_and_merge_action,primary_delta_public_readability,primary_delta_qa_feasibility,primary_delta_repairability,primary_delta_scope_discipline,primary_delta_useful_non_blocking_value,primary_total_delta,primary_total_new,primary_total_old,run,secondary_delta_author_trust,secondary_delta_blocker_recall_and_correctness,secondary_delta_disconfirmation_and_evidence,secondary_delta_exact_localization,secondary_delta_false_positive_control,secondary_delta_lifecycle_awareness,secondary_delta_priority_and_merge_action,secondary_delta_public_readability,secondary_delta_qa_feasibility,secondary_delta_repairability,secondary_delta_scope_discipline,secondary_delta_useful_non_blocking_value,secondary_total_delta,secondary_total_new,secondary_total_old,stage,winner_primary,winner_secondary
golden-stale-flag-still-rollback-root,low,low,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,41.0,43.0,1,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,43.0,44.0,stage1-golden,old_prompt,old_prompt
golden-supply-chain-script,high,medium,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0,43.0,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,46.0,42.0,stage1-golden,new_skill,new_skill
golden-tenant-cache-leak,medium,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,45.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,44.0,45.0,stage1-golden,tie,tie
golden-upstream-guard-question,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,46.0,47.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,46.0,43.0,stage1-golden,tie,new_skill
golden-webhook-idempotency,low,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,46.0,44.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,45.0,44.0,stage1-golden,new_skill,tie
golden-wrong-test-harness,medium,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,45.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,45.0,45.0,stage1-golden,tie,tie
golden-broken-stacked-slice,medium,low,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,44.0,46.0,stage1-golden,tie,old_prompt
golden-config-default-change,high,high,-1.0,-2.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-1.0,-8.0,39.0,47.0,2,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,-1.0,-5.0,40.0,45.0,stage1-golden,old_prompt,old_prompt
golden-docs-typo-clean,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-3.0,44.0,47.0,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-2.0,42.0,44.0,stage1-golden,old_prompt,old_prompt
golden-duplicate-business-rule,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,46.0,45.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,46.0,45.0,stage1-golden,new_skill,tie
golden-duplicate-existing-thread,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,36.0,36.0,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,5.0,38.0,33.0,stage1-golden,tie,new_skill
golden-dynamic-registry-not-dead,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,48.0,45.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,8.0,47.0,39.0,stage1-golden,new_skill,new_skill
golden-false-dry,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,46.0,44.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,1.0,45.0,44.0,stage1-golden,new_skill,tie
golden-fix-verification-clean,low,medium,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-3.0,43.0,46.0,2,-1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-5.0,42.0,47.0,stage1-golden,old_prompt,old_prompt
golden-invalid-fixture,medium,medium,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,44.0,45.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,stage1-golden,tie,tie
golden-keyboard-disabled-action,medium,medium,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,45.0,45.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,stage1-golden,tie,tie
golden-large-cohesive-module,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,-2.0,-1.0,43.0,44.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-2.0,43.0,45.0,stage1-golden,old_prompt,tie
golden-legitimate-adapter,medium,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,47.0,45.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,3.0,46.0,43.0,stage1-golden,tie,new_skill
golden-malicious-purpose-carrier,high,medium,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,46.0,43.0,2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,45.0,41.0,stage1-golden,new_skill,new_skill
golden-missing-generated-runtime,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,45.0,46.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,-3.0,42.0,45.0,stage1-golden,tie,old_prompt
golden-n-plus-one,medium,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,46.0,47.0,2,1.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,3.0,45.0,42.0,stage1-golden,tie,new_skill
golden-not-null-before-backfill,low,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,46.0,45.0,2,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,41.0,39.0,stage1-golden,new_skill,new_skill
golden-prompt-injection-body,medium,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,37.0,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,38.0,33.0,stage1-golden,tie,new_skill
golden-required-api-field,medium,low,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,47.0,42.0,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,4.0,46.0,42.0,stage1-golden,new_skill,new_skill
golden-stale-flag-still-rollback-root,medium,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,45.0,45.0,2,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,45.0,46.0,stage1-golden,tie,tie
golden-supply-chain-script,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,46.0,44.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,2.0,45.0,43.0,stage1-golden,tie,tie
golden-tenant-cache-leak,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,47.0,45.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,stage1-golden,new_skill,tie
golden-upstream-guard-question,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,47.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,46.0,stage1-golden,tie,tie
golden-webhook-idempotency,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,48.0,46.0,2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0,45.0,44.0,stage1-golden,new_skill,new_skill
golden-wrong-test-harness,medium,low,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,45.0,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,46.0,43.0,stage1-golden,tie,new_skill
golden-broken-stacked-slice,medium,low,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,45.0,46.0,3,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,2.0,4.0,44.0,40.0,stage1-golden,tie,new_skill
golden-config-default-change,high,high,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,-1.0,0.0,-1.0,-8.0,38.0,46.0,3,-1.0,-2.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,-8.0,38.0,46.0,stage1-golden,old_prompt,old_prompt
golden-docs-typo-clean,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,46.0,stage1-golden,tie,tie
golden-duplicate-business-rule,medium,medium,-1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,-1.0,1.0,-4.0,40.0,44.0,3,-1.0,0.0,0.0,1.0,-2.0,0.0,-3.0,-1.0,1.0,0.0,-1.0,1.0,-5.0,38.0,43.0,stage1-golden,old_prompt,old_prompt
golden-duplicate-existing-thread,medium,medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,32.0,32.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,31.0,31.0,stage1-golden,tie,tie
golden-dynamic-registry-not-dead,medium,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,3,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-6.0,41.0,47.0,stage1-golden,tie,old_prompt
golden-false-dry,medium,medium,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,45.0,43.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-2.0,-3.0,41.0,44.0,stage1-golden,new_skill,old_prompt
golden-fix-verification-clean,high,high,-2.0,-3.0,-2.0,0.0,-3.0,-3.0,-4.0,0.0,-1.0,-1.0,-2.0,-1.0,-22.0,24.0,46.0,3,-2.0,-3.0,-2.0,0.0,-3.0,-4.0,-4.0,0.0,-1.0,-1.0,-2.0,-1.0,-23.0,23.0,46.0,stage1-golden,old_prompt,old_prompt
golden-invalid-fixture,medium,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,42.0,44.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,45.0,44.0,stage1-golden,tie,tie
golden-keyboard-disabled-action,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,44.0,45.0,stage1-golden,tie,tie
golden-large-cohesive-module,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,47.0,48.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,44.0,45.0,stage1-golden,tie,old_prompt
golden-legitimate-adapter,medium,medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,45.0,44.0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,2.0,45.0,43.0,stage1-golden,tie,tie
golden-malicious-purpose-carrier,medium,high,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,-2.0,-6.0,40.0,46.0,3,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,-4.0,42.0,46.0,stage1-golden,old_prompt,old_prompt
golden-missing-generated-runtime,medium,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,4.0,47.0,43.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,4.0,46.0,42.0,stage1-golden,new_skill,new_skill
golden-n-plus-one,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,stage1-golden,new_skill,tie
golden-not-null-before-backfill,medium,low,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,42.0,42.0,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,3.0,45.0,42.0,stage1-golden,tie,new_skill
golden-prompt-injection-body,medium,medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,40.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,42.0,43.0,stage1-golden,tie,tie
golden-required-api-field,low,medium,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,44.0,44.0,3,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,3.0,45.0,42.0,stage1-golden,new_skill,new_skill
golden-stale-flag-still-rollback-root,medium,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,46.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,45.0,44.0,stage1-golden,tie,new_skill
golden-supply-chain-script,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,46.0,46.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0,2.0,46.0,44.0,stage1-golden,new_skill,new_skill
golden-upstream-guard-question,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,47.0,48.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,46.0,47.0,stage1-golden,tie,tie
001-01-docs_typo-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,27.0,stage2-official,tie,new_skill
002-01-docs_command_update-initial_preview,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,2.0,41.0,39.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,2.0,30.0,28.0,stage2-official,new_skill,tie
003-01-ui_copy_only-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,42.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,32.0,stage2-official,tie,tie
004-01-mechanical_rename-initial_preview,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,44.0,45.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,stage2-official,tie,tie
005-01-formatting_only-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,stage2-official,tie,tie
006-01-test_name_cleanup-initial_preview,medium,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,41.0,39.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,29.0,stage2-official,tie,tie
007-01-comment_accuracy-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,tie,tie
008-01-generated_snapshot_refresh-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.0,29.0,32.0,stage2-official,tie,tie
009-01-config_default_runtime_change-initial_preview,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-3.0,38.0,41.0,1,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,38.0,30.0,stage2-official,old_prompt,new_skill
010-01-feature_flag_default-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,28.0,29.0,stage2-official,tie,tie
011-01-environment_variable_add-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,45.0,46.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,28.0,28.0,stage2-official,tie,tie
012-01-ci_workflow_permissions-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,stage2-official,tie,tie
013-01-release_script_order-initial_preview,medium,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,44.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,32.0,33.0,stage2-official,tie,tie
