adjudication,case_id,confidence,delta_author_trust,delta_blocker_recall_and_correctness,delta_disconfirmation_and_evidence,delta_exact_localization,delta_false_positive_control,delta_lifecycle_awareness,delta_priority_and_merge_action,delta_public_readability,delta_qa_feasibility,delta_repairability,delta_scope_discipline,delta_useful_non_blocking_value,judge,run,winner_variant
False,golden-upstream-guard-question,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,primary,2,tie
False,golden-webhook-idempotency,low,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,1.0,primary,2,new_skill
False,golden-wrong-test-harness,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,primary,2,tie
False,golden-broken-stacked-slice,medium,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.333,0.0,0.0,0.0,0.333,primary,3,tie
False,golden-config-default-change,high,0.0,-0.667,0.333,0.0,0.0,-0.333,-1.0,-0.333,0.0,0.0,0.0,-0.667,primary,3,old_prompt
False,golden-docs-typo-clean,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.667,0.333,0.0,-0.667,0.0,primary,3,tie
False,golden-duplicate-business-rule,medium,-0.333,0.0,0.333,0.0,-0.333,0.333,-0.667,-0.667,0.667,0.0,-0.333,0.333,primary,3,old_prompt
False,golden-duplicate-existing-thread,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.333,0.0,-0.333,0.0,-0.667,primary,3,tie
False,golden-dynamic-registry-not-dead,medium,-0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.667,primary,3,tie
False,golden-false-dry,medium,0.333,0.0,1.0,0.667,0.0,0.0,0.0,-0.667,0.0,0.0,0.0,0.333,primary,3,new_skill
False,golden-fix-verification-clean,high,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.333,0.333,-0.333,-1.0,-0.667,-1.0,primary,3,old_prompt
False,golden-invalid-fixture,medium,-0.333,0.0,0.333,-0.333,0.0,0.0,0.0,-0.667,0.0,-0.333,0.0,0.0,primary,3,tie
False,golden-keyboard-disabled-action,medium,0.0,0.0,0.667,0.0,0.0,0.0,0.0,-0.667,0.667,0.0,0.0,0.667,primary,3,tie
False,golden-large-cohesive-module,medium,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.333,-0.333,0.0,-1.333,primary,3,tie
False,golden-legitimate-adapter,medium,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,1.0,-0.333,0.0,0.0,primary,3,tie
False,golden-malicious-purpose-carrier,medium,0.0,0.0,0.0,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.333,-0.667,primary,3,old_prompt
False,golden-missing-generated-runtime,medium,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.667,0.667,-0.333,0.0,-0.333,primary,3,new_skill
False,golden-n-plus-one,low,-0.333,0.0,1.0,-0.333,-0.333,0.0,0.0,-1.0,-0.333,0.0,0.0,-0.333,primary,3,new_skill
False,golden-not-null-before-backfill,medium,-0.667,0.0,0.667,0.0,0.0,-0.333,0.0,-0.667,0.667,0.0,0.0,0.0,primary,3,tie
False,golden-prompt-injection-body,medium,0.333,0.0,0.333,0.333,0.0,0.0,0.0,-0.333,0.0,0.0,0.0,0.0,primary,3,tie
False,golden-required-api-field,low,-0.333,0.0,0.333,0.333,0.0,0.0,0.0,-0.667,0.667,0.0,0.0,1.333,primary,3,new_skill
False,golden-stale-flag-still-rollback-root,medium,-0.333,0.0,0.667,0.333,-0.333,0.0,0.0,0.333,0.0,0.0,0.0,-1.0,primary,3,tie
False,golden-supply-chain-script,medium,0.0,0.0,0.333,0.0,0.0,0.333,1.333,0.0,0.333,0.0,0.0,-0.333,primary,3,new_skill
False,golden-upstream-guard-question,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.333,-0.667,0.0,0.0,0.0,0.0,primary,3,tie
False,golden-broken-stacked-slice,low,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,secondary,1,old_prompt
False,golden-config-default-change,high,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,secondary,1,new_skill
False,golden-docs-typo-clean,medium,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,secondary,1,tie
False,golden-duplicate-business-rule,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,secondary,1,tie
False,golden-duplicate-existing-thread,medium,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,secondary,1,old_prompt
False,golden-dynamic-registry-not-dead,low,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,secondary,1,new_skill
False,golden-false-dry,medium,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,secondary,1,tie
False,golden-fix-verification-clean,medium,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,secondary,1,old_prompt
False,golden-invalid-fixture,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,secondary,1,tie
False,golden-keyboard-disabled-action,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,secondary,1,tie
False,golden-large-cohesive-module,medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-2.0,secondary,1,tie
False,golden-legitimate-adapter,medium,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,0.0,1.0,secondary,1,new_skill
False,golden-malicious-purpose-carrier,medium,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary,1,tie
False,golden-missing-generated-runtime,medium,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,secondary,1,old_prompt
False,golden-n-plus-one,medium,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
False,golden-not-null-before-backfill,low,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,secondary,1,old_prompt
False,golden-prompt-injection-body,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,secondary,1,tie
False,golden-required-api-field,medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,secondary,1,tie
False,golden-stale-flag-still-rollback-root,low,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,secondary,1,old_prompt
False,golden-supply-chain-script,medium,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,secondary,1,new_skill
False,golden-tenant-cache-leak,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,secondary,1,tie
False,golden-upstream-guard-question,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,secondary,1,new_skill
False,golden-webhook-idempotency,medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,secondary,1,tie
False,golden-wrong-test-harness,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,secondary,1,tie
False,golden-broken-stacked-slice,low,-0.5,0.0,-1.0,-0.5,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,secondary,2,old_prompt
False,golden-config-default-change,high,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.0,secondary,2,old_prompt
False,golden-docs-typo-clean,medium,-1.0,0.0,0.5,0.0,0.0,0.5,0.0,-1.0,1.0,0.0,-0.5,0.5,secondary,2,old_prompt
False,golden-duplicate-business-rule,medium,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.5,1.0,-0.5,0.0,0.0,secondary,2,tie
True,golden-duplicate-existing-thread,low,0.5,0.0,0.5,0.5,0.0,0.0,-0.5,-1.0,0.5,0.0,0.0,-0.5,secondary,2,new_skill
False,golden-dynamic-registry-not-dead,medium,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.5,secondary,2,new_skill
False,golden-false-dry,medium,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.5,secondary,2,tie
False,golden-fix-verification-clean,medium,-0.5,0.0,-1.5,-1.0,0.0,0.0,0.0,0.5,0.0,-0.5,0.0,-1.5,secondary,2,old_prompt
False,golden-invalid-fixture,medium,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,secondary,2,tie
False,golden-keyboard-disabled-action,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,0.5,secondary,2,tie
False,golden-large-cohesive-module,medium,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,-1.0,0.5,-1.5,secondary,2,tie
False,golden-legitimate-adapter,low,0.5,0.0,0.0,0.5,-0.5,0.5,0.0,-1.0,1.5,0.5,0.0,1.0,secondary,2,new_skill
False,golden-malicious-purpose-carrier,medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,secondary,2,new_skill
False,golden-missing-generated-runtime,low,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-0.5,-1.0,0.0,-2.0,secondary,2,old_prompt
False,golden-n-plus-one,low,0.5,0.0,1.5,0.5,-0.5,0.0,0.0,-1.0,0.5,0.0,0.0,-0.5,secondary,2,new_skill
False,golden-not-null-before-backfill,low,-1.0,0.5,0.0,0.0,-0.5,0.0,0.0,-1.0,1.0,0.5,0.0,0.5,secondary,2,new_skill
False,golden-prompt-injection-body,medium,1.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.5,0.0,secondary,2,new_skill
False,golden-required-api-field,low,0.5,0.0,0.5,1.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,1.0,secondary,2,new_skill
False,golden-stale-flag-still-rollback-root,medium,-1.0,0.0,-0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,-1.5,secondary,2,tie
False,golden-supply-chain-script,medium,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,-0.5,0.0,0.0,secondary,2,tie
False,golden-tenant-cache-leak,medium,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,-0.5,secondary,2,tie
False,golden-upstream-guard-question,medium,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,secondary,2,tie
False,golden-webhook-idempotency,low,0.5,0.0,0.5,0.0,-0.5,0.0,0.0,-1.0,0.5,0.0,0.0,1.0,secondary,2,new_skill
False,golden-wrong-test-harness,low,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.5,0.5,0.5,0.0,0.0,secondary,2,new_skill
False,golden-broken-stacked-slice,low,-0.667,0.0,-0.667,0.0,0.0,0.0,0.0,-0.333,0.0,0.333,0.333,0.667,secondary,3,new_skill
False,golden-config-default-change,high,0.0,-0.333,0.667,0.333,0.333,0.333,-1.0,0.333,0.667,0.333,0.333,-0.333,secondary,3,old_prompt
False,golden-docs-typo-clean,medium,-0.333,0.0,0.333,0.0,0.0,0.333,0.0,-0.667,0.667,0.0,-0.333,0.333,secondary,3,tie
False,golden-duplicate-business-rule,medium,-0.333,0.0,0.333,0.333,-0.667,0.333,-1.0,-0.667,1.0,-0.333,-0.333,0.333,secondary,3,old_prompt
False,golden-duplicate-existing-thread,medium,0.667,0.0,0.333,0.333,0.0,0.0,-0.333,-0.667,0.333,-0.333,0.0,-0.333,secondary,3,tie
False,golden-dynamic-registry-not-dead,medium,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.667,0.333,0.0,0.333,0.667,secondary,3,old_prompt
False,golden-false-dry,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.667,-0.333,0.0,0.0,-0.333,secondary,3,old_prompt
False,golden-fix-verification-clean,high,-1.0,-1.0,-1.667,-0.667,-1.0,-1.333,-1.333,0.333,-0.333,-0.667,-0.667,-1.333,secondary,3,old_prompt
False,golden-invalid-fixture,medium,0.0,0.0,0.667,0.0,0.0,0.333,0.0,-0.667,0.0,-0.333,0.0,0.0,secondary,3,tie
False,golden-keyboard-disabled-action,medium,0.0,0.0,0.667,0.0,0.0,0.0,0.0,-0.333,-0.333,0.0,0.333,0.0,secondary,3,tie
False,golden-large-cohesive-module,low,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.667,-1.0,0.333,-1.333,secondary,3,old_prompt
False,golden-legitimate-adapter,medium,0.333,0.0,0.0,0.667,0.0,0.333,0.0,-0.333,1.333,0.0,0.0,0.333,secondary,3,tie
False,golden-malicious-purpose-carrier,high,-0.333,0.0,0.333,0.0,0.0,0.0,0.0,-0.333,0.333,0.0,0.0,-0.333,secondary,3,old_prompt
False,golden-missing-generated-runtime,medium,0.333,0.0,0.0,-0.333,0.0,0.0,0.0,-0.667,0.0,-0.667,0.0,-0.667,secondary,3,new_skill
False,golden-n-plus-one,medium,0.333,0.0,1.333,0.333,-0.333,0.0,0.0,-1.0,0.333,0.0,0.0,-0.333,secondary,3,tie
False,golden-not-null-before-backfill,low,-0.333,0.333,0.667,0.0,-0.333,0.0,0.0,-1.0,1.0,0.333,0.0,0.333,secondary,3,new_skill
False,golden-prompt-injection-body,medium,0.667,0.0,0.333,0.333,0.0,0.333,0.0,-0.667,0.667,-0.333,0.333,0.0,secondary,3,tie
False,golden-required-api-field,medium,0.0,0.0,0.667,1.0,0.0,0.0,0.0,-1.0,0.667,0.0,0.0,1.333,secondary,3,new_skill
False,golden-stale-flag-still-rollback-root,low,-0.667,0.0,0.0,0.333,0.0,0.333,0.0,0.333,0.333,0.0,0.0,-1.0,secondary,3,new_skill
False,golden-supply-chain-script,medium,0.0,0.0,0.667,0.0,0.0,0.0,1.333,0.667,0.667,-0.333,0.0,-0.333,secondary,3,new_skill
False,golden-upstream-guard-question,medium,0.0,0.0,0.333,0.333,0.0,0.0,0.0,-0.333,0.333,0.0,0.0,0.333,secondary,3,tie
